Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
TOYA;Handel hurtowy;4,4;AAA                      ;12,96;18,3887812464569;-43%;2;1,96;1,13;3,1;3,1;2,55;2,73;1,95;2,68;1,01;3,97;1,33;2,50;2014-01-01 - 2014-12-31;4,19%
TRAKCJA;Budownictwo;13,03;BB+                      ;5,42;52,78467040216;-34%;13,81;5,99;3,49;10,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;16,03;12,42;57;17,25;20,74;8,65;2008-01-01 - 2008-12-31;2,71%
TRANSPOL;Inne;3,05;BB-                      ;4,83;38,8186520376176;-36%;3,82;3,81;0,11;2,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,26;3,94;19,41;1,73;15,05;1,96; - ;brak
TRITON;Deweloperzy;1,76;AAA                      ;9,57;29,9359119292993;> +250%;14,34;14,34;7,55;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,8;Wycena niemozliwa;18,57;Wycena niemozliwa;24,66;10,94; - ;brak
ULMA;Budownictwo;71;AAA                      ;14,13;15,6339523010744;-41%;54,53;54,51;29,48;5,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;63,27;10,47;70,47;20,1;31,49;42,00;2012-01-01 - 2012-12-31;3,70%
UNIBEP;Budownictwo;11,12;BB-                      ;4,92;27,6993994462718;-44%;6,01;5,68;-1,18;6,8;6,84;6,4;6,54;6,97;6,25;69,53;Wycena niemozliwa;12,02;6,24;2014-01-01 - 2014-12-31;1,28%
UNIMA;Informatyka;2,26;BBB                      ;6,17;40,9691464083349;+75%;5,64;3,45;2,26;2,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;15,87;3,84;33,75;5,08;39,86;3,95;2012-01-01 - 2012-12-31;8,22%
URSUS;Elektromasz.;2,42;BB+                      ;5,42;54,5422665190107;+21%;1,45;1,67;-0,05;2,58;2,27;1,84;2,09;2,25;4,24;4,86;4,32;5,17;2,92;2007-01-01 - 2007-12-31;3,48%
VANTAGE;Deweloperzy;2,3;AA+                      ;8,11;20,0811105315168;+42%;5,22;5,21;1,29;2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,56;3,67;4,88;1,15;3,79;3,26; - ;brak
VARIANT;Handel hurtowy;1,68;AAA                      ;14,6;0;+230%;6,96;6,89;4,14;2,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;6,78;Wycena niemozliwa;1,29;Wycena niemozliwa;3,11;5,55;2007-01-01 - 2007-12-31;5,59%
VIGOSYS;Elektromasz.;208,25;AAA                      ;11,2;50,6124828532236;-59%;40,59;38,57;25,79;96,33;66,94;68,46;77,75;63,13;132,7;29,16;197,82;54,83;84,56;2014-01-01 - 2014-12-31;2,39%
VINDEXUS;Inne;5,5;AAA                      ;13,81;46,6510259112842;+174%;10,39;10,39;6,64;11,7;12,63;11,04;11,26;11,76;13,92;25,21;22,49;24,12;15,10;2014-01-01 - 2014-12-31;2,18%
VISTAL;Budownictwo;7,91;BB-                      ;4,94;29,6270232230823;+79%;13,76;13,74;-1,46;11,3;16,97;Wycena niemozliwa;Wycena niemozliwa;15,97;17,97;56,14;11,16;6,29;14,17;2014-01-01 - 2014-12-31;2,27%
VISTULA;Handel detaliczny;2,64;AAA                      ;8,88;40,4735702306084;-34%;2,54;0,49;0,92;1,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,43;3,46;1,59;3,55;1,6;1,73; - ;brak
VOTUM;Inne;14,6;AAA                      ;8,15;21,5994583333333;-38%;2,08;1,7;0,8;5,65;4,1;3,86;4,46;4,49;17,52;15,34;18,71;14,44;9,03;2015-01-01 - 2015-12-31;1,94%
VOXEL;Inne;18,53;B                        ;4,42;21,9596385656885;-28%;10,25;5,8;1,3;8,1;10,8;Wycena niemozliwa;Wycena niemozliwa;22,14;12,34;23,06;8,45;16,41;13,37; - ;brak
WADEX;Metalowy;4,25;AA+                      ;7,98;21,5126499645328;+44%;4,5;4,5;2,39;6;4,89;5,25;5,5;5,31;7,75;3,97;9,54;6,15;6,11;2014-01-01 - 2014-12-31;8,48%
WASKO;Informatyka;1,9;AA                       ;7,52;18,7534991089788;+152%;2,34;1,73;1;2,7;2,73;2,52;2,58;6,59;3,74;11,27;4,35;13,11;4,80;2014-01-01 - 2014-12-31;1,91%
WAWEL;Spożywczy;1006;AAA                      ;11,87;32,9815869925421;-48%;306,96;305,03;189,17;644,5;498,77;475,73;531,99;571,46;517,68;252,4;822,09;480,77;518,71;2014-01-01 - 2014-12-31;1,45%
WDX;Handel hurtowy;6,15;BB-                      ;4,85;26,6078344829197;-2%;4,44;4,01;0,22;6,8;5,81;5,62;6,01;4,33;5,89;4,13;6,99;4,07;6,06;2014-01-01 - 2014-12-31;4,93%
WIELTON;Motoryzacyjny;6,1;BB+                      ;5,43;18,5659677018634;-24%;3,03;2,61;-0,06;3,7;6,31;3,36;3,48;6,18;4,99;9,46;3,22;7,5;4,61;2014-01-01 - 2014-12-31;3,22%
WINVEST;Inne;3,05;AAA                      ;8,63;34,0106067860723;+123%;8,81;7,56;4,82;4,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,96;Wycena niemozliwa;48;Wycena niemozliwa;49,18;6,82; - ;brak
WISTIL;Lekki;31,23;A-                       ;6,56;9,9636;> +250%;100,79;96,71;20,47;65,2;109,16;Wycena niemozliwa;Wycena niemozliwa;166,12;123,87;187,27;85,62;192,73;132,33;2003-01-01 - 2003-12-31;1,70%
WOJAS;Lekki;5,8;BB                       ;5,24;17,131155545886;+22%;5,02;5;-0,17;4,4;5,57;Wycena niemozliwa;Wycena niemozliwa;8,28;9,15;12,93;3,85;10,74;7,08;2014-01-01 - 2014-12-31;3,68%
WORKSERV;Inne;11,4;B-                       ;4,13;25,5137386271102;-21%;5,39;-1,64;-0,68;7,49;11,82;6,44;6,79;11,64;14,92;62,89;11,15;52,1;8,97;2014-01-01 - 2014-12-31;0,87%
ZAMET;Elektromasz.;1,7;A+                       ;6,86;18,6567497403946;+21%;1,61;1,44;0,54;2;1,93;1,81;1,87;2,51;2,27;1,83;2,8;2,19;2,06;2012-01-01 - 2012-12-31;15,73%
ZASTAL;Inne;0,44;XXX;12,17;100;> +250%;3,39;3,39;1,69;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;7,32;0,93;1,99;0,9;1,72;2,54; - ;brak
ZEPAK;Energetyka;7,16;BB                       ;5,12;38,4748234907729;> +250%;74,43;74,32;13,5;5,4;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;70,28;7,49;29,21;Wycena niemozliwa;36,4;43,96;2014-01-01 - 2014-12-31;7,77%
ZETKAMA;Metalowy;87;AA+                      ;7,95;37,3880872638521;-59%;24,06;27,54;10,25;42,09;30,07;29,88;33,95;28,39;55,1;32,78;49,78;31,1;35,52;2011-01-01 - 2011-12-31;2,72%
ZPUE;Elektromasz.;380;BBB+                     ;6,27;28,1545;-17%;198,67;180;62,98;294;343,15;246,34;262,22;308,99;351,08;345,05;462,16;453,01;314,92;2014-01-01 - 2014-12-31;7,38%
ZREMB;Elektromasz.;0,73;B+                       ;4,75;64,6913155631986;+108%;2,98;2,93;0,06;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,63;0,57;9,17;0,43;12,29;1,52; - ;brak
ZUE;Budownictwo;9,68;A-                       ;6,58;24,8794717761113;+8%;8,96;7,12;1,91;6,8;10,24;Wycena niemozliwa;Wycena niemozliwa;10,4;7,11;48,99;10,08;18,24;10,49; - ;brak
ZYWIEC;Spożywczy;389,5;D                        ;1,57;1,64784779235654;-60%;25,5;19,88;-57,87;282,1;125,91;153,8;196,57;47,48;188,49;184,66;187,77;204,67;155,74;2015-01-01 - 2015-12-31;2,93%
(c) StockWatch.pl - tylko do uzytku osobistego, licencja nie zezwala na rozpowszechnianie. Powyzsze informacje nie sa rekomendacja inwestycyjna
